zone_id,zone_name,zone_archetype,lat_centroid,lon_centroid,area_km2,ev_registrations,ev_growth_rate_yoy,ev_growth_rate_predicted,population_density,poi_score_weighted,it_park_count,mall_count,hotel_count,metro_count,hospital_count,university_count,petrol_pump_count,footfall_composite,charger_count_total,slow_charger_count,fast_charger_count,google_review_count_total,operators_present,planned_supply_6mo,price_psf_commercial,price_psf_residential,hcpi_estimated,new_projects_pipeline_count,new_projects_pipeline_units,s_score,s_eff,congestion_index,predicted_ci_t12,fast_desert_flag,sessions_per_day_estimate,payback_months_baseline_6sessions,roi_tier,recommended_product,site_score
14,Yelahanka,suburb_growing,13.1007,77.5963,3.2,686,1.289,1.271,5600,17.6,0,1,1,0,1,1,1,40,4,2,2,764,Fortum;Shell,0,6133,4049,0.53,6,3120,0.79,2.36,8.2,8.1,0,5,22.9,LOW,DC 30 kW (retail dwell),41.1
13,Hebbal,transit_highway,13.0353,77.597,2.8,975,1.12,1.163,7200,27.7,1,0,2,1,1,0,2,56,1,0,1,262,BPCL,0,8314,5170,0.5,0,0,0.81,2.72,4.2,4.4,0,6,17.3,MEDIUM,DC 120 kW (highway fast),40.7
16,Jayanagar,residential_established,12.9257,77.5933,2.1,1853,1.089,1.05,15200,21.2,1,1,1,0,2,1,1,60,3,2,1,423,Chargezone,0,9824,5455,0.42,1,267,0.87,3.14,5.1,4.9,0,7,13.8,MEDIUM,DC 30 kW (retail dwell),40.7
17,BTM Layout,residential_dense,12.9166,77.6101,1.7,1476,1.1,1.15,19800,20.5,1,1,1,0,2,1,1,52,1,1,0,65,Zeon,0,9261,5598,0.39,0,0,0.85,2.98,4.8,5.0,0,6,17.3,MEDIUM,DC 30 kW (retail dwell),39.8
12,Bellandur,it_residential,12.9348,77.6689,2.5,1413,1.196,1.215,10800,31.2,2,1,2,0,1,0,1,65,5,4,1,811,Tata Power,1,11706,6841,0.45,3,498,0.85,4.04,6.7,6.8,0,9,9.9,HIGH,DC 60 kW (sustained dwell),38.0
11,Indiranagar,upmarket_commercial,12.9784,77.6408,1.9,1932,1.163,1.18,13600,36.4,1,2,3,1,1,0,1,78,3,1,2,571,BPCL;Shell,0,18840,11847,0.27,0,0,0.88,4.73,6.5,6.6,0,9,9.9,HIGH,DC 60 kW (sustained dwell),37.4
15,Devanahalli,highway_airport,13.2479,77.711,5.1,607,1.2,1.209,2100,22.9,1,0,3,0,1,0,2,37,3,0,3,1206,Shell,1,7118,4180,0.55,2,1028,0.78,3.0,3.9,3.9,0,5,22.9,LOW,DC 120 kW (highway fast),36.1
10,MG Road,premium_commercial,12.9756,77.6097,1.5,1275,1.108,1.134,12800,44.7,0,1,4,1,2,0,2,88,5,1,4,1967,Shell,0,22359,12961,0.21,1,357,0.95,5.99,2.2,2.3,0,9,9.9,HIGH,DC 120 kW (highway fast),32.9
19,Tumkur Road NH-48,highway_corridor,13.0358,77.556,3.5,728,1.155,1.208,3400,22.9,1,0,1,0,0,0,3,44,4,1,3,959,Zeon;Chargezone,1,6234,3510,0.53,1,263,0.74,3.98,2.8,2.9,0,6,17.3,MEDIUM,DC 120 kW (highway fast),31.9
6,Marathahalli,commercial_transit,12.956,77.7013,2.2,1655,1.161,1.162,13400,33.3,2,1,2,1,1,0,2,72,7,1,6,2742,Tata Power,0,10443,6769,0.39,1,497,0.82,7.06,3.7,3.7,0,8,11.6,HIGH,DC 120 kW (highway fast),24.6
